mk,position,track,streams,url,id,popularity,followers,genres,type
nl,34,Weak,89756,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
no,79,Weak,23385,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
at,82,Weak,3580,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
de,86,Weak,59497,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
cz,96,Weak,1693,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
us,152,Weak,186974,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,artist
de,94,Jim Beam & Voddi,56369,https://open.spotify.com/track/34eBseo3rsXhiIWEUcw4ys,07SFzTMeYf5P8Rd32a9Zzw,68,50022,deep german hip hop,artist
no,132,Copacabana,14423,https://open.spotify.com/track/0zZ2YoqtzhDn6GYlUd4WPI,6I7pUQy8jUucWfc6xcT19A,55,4431,"deep pop edm,russelater",artist
cz,126,Faded,1459,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
no,14,Tired,86064,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
tw,71,Faded,5111,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ch,60,Tired,6472,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ec,108,Faded,2686,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
se,195,Alone,18939,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
at,109,Alone,2722,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hn,85,Faded,1310,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ch,104,Alone,4057,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
gr,64,Tired,1044,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
lt,50,Tired,1138,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hk,58,Faded,3873,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
gt,101,Faded,1551,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
sg,72,Faded,7010,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
sg,135,Alone,4421,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
sv,64,Faded,1384,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hu,107,Faded,1275,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
id,31,Tired,22137,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
py,113,Faded,1300,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
