,artist,mk,position,track,streams,url,id,popularity,followers,genres,,,,,"insert into pais_musica(pais_id, musica_id, posicao, streams) values"
31,Abraham Mateo,pe,117,Loco Enamorado,8093,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'pe'), (select id from musica where nome like 'Loco Enamorado'), 117, 8093),"
32,Abraham Mateo,es,71,Loco Enamorado,40628,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'es'), (select id from musica where nome like 'Loco Enamorado'), 71, 40628),"
33,Abraham Mateo,ar,132,Loco Enamorado,17182,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'ar'), (select id from musica where nome like 'Loco Enamorado'), 132, 17182),"
34,Abraham Mateo,uy,100,Loco Enamorado,1687,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'uy'), (select id from musica where nome like 'Loco Enamorado'), 100, 1687),"
35,Abraham Mateo,bo,94,Loco Enamorado,1079,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'bo'), (select id from musica where nome like 'Loco Enamorado'), 94, 1079),"
36,Abraham Mateo,py,119,Loco Enamorado,1218,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'py'), (select id from musica where nome like 'Loco Enamorado'), 119, 1218),"
37,Abraham Mateo,cl,81,Loco Enamorado,19824,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'cl'), (select id from musica where nome like 'Loco Enamorado'), 81, 19824),"
38,Abraham Mateo,gt,119,Loco Enamorado,1375,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'gt'), (select id from musica where nome like 'Loco Enamorado'), 119, 1375),"
39,Abraham Mateo,mx,177,Loco Enamorado,39798,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'mx'), (select id from musica where nome like 'Loco Enamorado'), 177, 39798),"
40,Abraham Mateo,ec,98,Loco Enamorado,2840,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'ec'), (select id from musica where nome like 'Loco Enamorado'), 98, 2840),"
41,Abraham Mateo,co,196,Loco Enamorado,4017,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'co'), (select id from musica where nome like 'Loco Enamorado'), 196, 4017),"
42,Abraham Mateo,pa,119,Loco Enamorado,1276,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,2bxxlINUlcMQQb39K7IopR,67,219177,"latin arena pop,spanish pop",,,,,"((select id from pais where sigla like 'pa'), (select id from musica where nome like 'Loco Enamorado'), 119, 1276),"
43,AC/DC,cz,148,Highway to Hell,1304,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,711MCceyCBcFnzjGY4Q7Un,83,3406855,"album rock,classic rock,hard rock,heavy christmas,rock",,,,,"((select id from pais where sigla like 'cz'), (select id from musica where nome like 'Highway to Hell'), 148, 1304),"
44,Achille Lauro,it,142,Ulalala,18965,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz,0lI3rF4hi4op6UxqlLHPzv,58,37068,"denver indie,italian hip hop",,,,,"((select id from pais where sigla like 'it'), (select id from musica where nome like 'Ulalala'), 142, 18965),"
45,Ada Band,id,196,Haruskah Kumati,4546,https://open.spotify.com/track/3RzgETsKqBs5McfQTdNp2Q,2owBL6a90fnWufVtP70K8f,55,11485,"dangdut,indonesian indie,indonesian pop,world worship",,,,,"((select id from pais where sigla like 'id'), (select id from musica where nome like 'Haruskah Kumati'), 196, 4546),"
46,Ada Band,id,108,Manusia Bodoh,6708,https://open.spotify.com/track/408TyH9YoTkH9J0Da9Ue8C,2owBL6a90fnWufVtP70K8f,55,11485,"dangdut,indonesian indie,indonesian pop,world worship",,,,,"((select id from pais where sigla like 'id'), (select id from musica where nome like 'Manusia Bodoh'), 108, 6708),"
47,Adamlar,tr,181,Rüyalarda Buruşmuşum,5385,https://open.spotify.com/track/4cQSOn9oP0MiM7BgiRngFk,1g4J8P1JWwanNyyXckRX5W,56,49569,"turkish jazz,turkish rock",,,,,"((select id from pais where sigla like 'tr'), (select id from musica where nome like 'Rüyalarda Buruşmuşum'), 181, 5385),"
48,Adele,nz,165,Send My Love (To Your New Lover),4457,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'nz'), (select id from musica where nome like 'Send My Love (To Your New Lover)'), 165, 4457),"
49,Adele,be,181,Hello,3139,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'be'), (select id from musica where nome like 'Hello'), 181, 3139),"
50,Adele,gb,180,Hello,42032,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'gb'), (select id from musica where nome like 'Hello'), 180, 42032),"
